power;focus;weld_velocity;penetration;weld_width
3500;0;100;0.89;0.94
3500;0;110;0.82;1.06
3500;0;130;0.62;1.07
3500;0;150;0.53;0.77
3500;0;160;0.44;0.79
3500;0;170;0.37;0.83
3500;0;180;0.23;0.73
3500;0;190;0.21;0.61
4000;0;140;0.87;1.17
4000;0;150;0.81;1.11
4000;0;170;0.52;1.07
4000;0;180;0.42;1.03
4000;0;190;0.45;0.94
4000;0;200;0.32;0.95
4500;0;150;1.14;1.14
4500;0;170;0.81;1.07
4500;0;180;0.68;1.07
4500;0;190;0.57;1.01
4500;0;200;0.51;1.01
5000;0;170;1.10;1.02
5000;0;190;0.70;1.01
5000;0;200;0.64;0.97
5500;0;190;0.93;1.08
5500;0;200;0.94;1.10
5500;0;210;0.67;1.05
5500;0;220;0.81;1.06
3500;-5;120;0.85;1.15
3500;-5;130;0.82;1.09
3500;-5;140;0.64;1.01
3500;-5;150;0.61;1.06
3500;-5;170;0.37;0.85
3500;-5;180;0.25;0.78
4000;-5;140;1.08;1.11
4000;-5;150;0.85;1.09
4000;-5;160;0.58;1.00
4000;-5;170;0.48;0.96
4000;-5;180;0.38;0.85
4500;-5;160;0.88;1.07
4500;-5;170;0.74;1.03
4500;-5;180;0.62;1.03
5000;-5;160;0.88;1.01
5000;-5;170;0.79;1.05
5000;-5;180;0.90;1.13
5500;-5;190;0.95;1.19
5500;-5;200;0.71;1.04
5500;-5;210;0.77;1.13
5500;-5;220;0.62;0.99
3500;-10;100;0.78;1.20
3500;-10;120;0.65;1.12
3500;-10;130;0.66;1.05
3500;-10;140;0.46;1.00
3500;-10;150;0.48;0.97
3500;-10;160;0.26;0.84
3500;-10;170;0.27;0.78
3500;-10;180;0.11;0.57
4000;-10;130;0.93;1.27
4000;-10;140;0.92;1.13
4000;-10;150;0.73;1.19
4000;-10;160;0.56;1.02
4000;-10;170;0.44;0.95
4000;-10;180;0.40;0.92
4500;-10;150;0.94;1.13
4500;-10;160;0.78;1.16
4500;-10;170;0.56;1.13
4500;-10;180;0.54;0.99
5000;-10;160;0.83;1.13
5000;-10;170;0.66;1.09
5000;-10;180;0.59;1.06
5500;-10;160;0.99;1.21
5500;-10;170;0.73;1.16
5500;-10;180;0.79;1.24
5500;-10;190;0.75;1.12
5500;-10;200;0.57;1.05
3500;-15;80;0.82;1.15
3500;-15;90;0.90;1.16
3500;-15;110;0.80;1.16
3500;-15;120;0.55;1.06
3500;-15;130;0.49;0.95
3500;-15;140;0.41;1.00
3500;-15;150;0.27;0.77
3500;-15;160;0.27;0.64
4000;-15;110;1.01;1.27
4000;-15;120;0.78;1.17
4000;-15;130;0.68;1.10
4000;-15;140;0.70;1.03
4000;-15;180;0.16;0.73
4500;-15;130;0.79;1.20
4500;-15;140;0.81;1.02
4500;-15;150;0.59;1.09
4500;-15;160;0.60;1.02
4500;-15;170;0.34;0.83
4500;-15;180;0.35;0.90
5000;-15;120;1.12;1.35
5000;-15;130;1.03;1.19
5000;-15;140;1.06;1.14
5000;-15;150;0.96;1.18
5000;-15;160;0.73;1.22
5000;-15;170;0.52;1.07
5000;-15;180;0.37;0.90
5500;-15;160;0.93;1.25
5500;-15;170;0.68;1.07
5500;-15;180;0.58;1.10
5500;-15;190;0.47;0.87
5500;-15;200;0.43;0.88
5500;-15;210;0.41;0.91
5500;-15;220;0.27;0.75
3500;-20;80;0.67;1.25
3500;-20;90;0.64;1.15
3500;-20;100;0.57;1.20
3500;-20;110;0.56;1.20
3500;-20;120;0.41;1.07
3500;-20;130;0.32;0.91
3500;-20;140;0.30;0.89
3500;-20;150;0.24;0.81
3500;-20;160;0.17;0.69
4000;-20;80;0.85;1.31
4000;-20;90;0.85;1.23
4000;-20;100;0.77;1.37
4000;-20;110;0.84;1.40
4000;-20;120;0.60;1.24
4000;-20;130;0.45;1.07
4000;-20;140;0.50;1.20
4000;-20;150;0.34;1.01
4000;-20;160;0.34;0.93
4000;-20;170;0.18;0.74
4000;-20;180;0.16;0.72
4500;-20;90;1.09;1.35
4500;-20;120;0.69;1.29
4500;-20;130;0.65;1.20
4500;-20;140;0.52;1.17
4500;-20;170;0.26;0.80
5000;-20;110;0.89;1.34
5000;-20;130;0.83;1.19
5000;-20;140;0.68;1.23
5000;-20;150;0.53;1.05
5000;-20;160;0.52;1.06
5000;-20;170;0.43;0.92
5000;-20;180;0.37;0.89
5500;-20;120;0.80;1.34
5500;-20;130;0.64;1.15
5500;-20;140;0.68;1.20
5500;-20;150;0.71;1.28
5500;-20;160;0.47;1.08
5500;-20;170;0.49;1.04
5500;-20;180;0.46;1.07
5500;-20;190;0.36;0.90
5500;-20;200;0.27;0.96
5500;-20;210;0.23;0.69
5500;-20;220;0.27;0.81
3500;5;130;0.61;1.02
3500;5;140;0.57;1.09
3500;5;150;0.43;0.95
3500;5;160;0.34;0.84
3500;5;170;0.33;0.85
3500;5;180;0.20;0.70
4000;5;140;0.91;1.19
4000;5;150;0.69;1.12
4000;5;160;0.64;1.09
4000;5;170;0.48;1.02
4000;5;180;0.44;0.91
4500;5;150;1.01;1.09
4500;5;160;1.02;1.03
4500;5;170;0.71;1.15
4500;5;180;0.69;1.18
5000;5;170;1.14;1.14
5000;5;180;0.99;1.15
5500;5;190;0.93;1.12
5500;5;200;0.70;1.05
5500;5;210;0.74;1.00
5500;5;220;0.53;0.94
3500;10;90;1.06;1.10
3500;10;120;0.68;1.03
3500;10;130;0.57;1.10
3500;10;140;0.47;1.04
3500;10;150;0.43;0.92
3500;10;160;0.28;0.77
3500;10;170;0.16;0.80
3500;10;180;0.13;0.60
4000;10;120;1.00;1.14
4000;10;130;0.82;1.11
4000;10;140;0.84;1.05
4000;10;150;0.65;1.07
4000;10;160;0.55;1.03
4000;10;170;0.42;0.93
4000;10;180;0.44;0.93
4500;10;130;1.19;1.22
4500;10;140;1.17;1.10
4500;10;150;0.85;1.15
4500;10;160;0.83;1.10
4500;10;170;0.60;1.03
4500;10;180;0.48;1.01
5000;10;160;1.05;1.08
5000;10;170;0.87;1.10
5000;10;180;0.63;1.03
5500;10;180;1.04;1.03
5500;10;190;0.76;0.99
5500;10;210;0.61;0.84
5500;10;220;0.48;0.86
3500;10;80;0.91;1.03
3500;10;100;0.80;1.08
3500;10;110;0.72;1.12
4000;15;120;0.62;1.14
4000;15;130;0.65;1.17
4000;15;140;0.51;1.06
4000;15;150;0.51;1.05
4000;15;160;0.28;0.84
4000;15;170;0.21;0.71
4000;15;180;0.20;0.75
4500;15;120;1.10;1.32
4500;15;130;0.89;1.23
4500;15;140;0.65;1.16
4500;15;150;0.60;1.11
4500;15;160;0.49;1.11
4500;15;180;0.38;1.00
5000;15;150;0.81;1.16
5000;15;160;0.66;1.15
5000;15;170;0.50;1.00
5500;15;170;0.60;0.95
5500;15;180;0.58;0.95
5500;15;190;0.50;0.93
5500;15;200;0.46;0.90
5500;15;210;0.38;0.81
5500;15;220;0.33;0.79
3500;20;90;0.72;1.26
3500;20;100;0.68;1.18
3500;20;110;0.47;1.03
3500;20;120;0.30;0.91
3500;20;140;0.26;0.73
3500;20;150;0.14;0.74
3500;20;160;0.12;0.56
4000;20;90;1.17;1.25
4000;20;100;1.13;1.32
4000;20;110;0.65;1.22
4000;20;120;0.51;1.18
4000;20;130;0.47;1.08
4000;20;140;0.45;0.98
4000;20;150;0.32;0.83
4000;20;160;0.24;0.59
4500;20;110;0.79;1.34
4500;20;120;0.56;1.16
4500;20;130;0.59;1.04
4500;20;140;0.48;1.13
4500;20;150;0.39;1.09
4500;20;160;0.30;0.84
4500;20;170;0.18;0.68
4500;20;180;0.23;0.66
5000;20;130;0.87;1.37
5000;20;140;0.73;1.17
5000;20;150;0.65;1.13
5000;20;160;0.37;0.96
5000;20;170;0.32;0.96
5000;20;180;0.31;0.89
5500;20;120;0.75;1.19
5500;20;130;0.71;1.16
5500;20;150;0.67;1.16
5500;20;170;0.40;0.98
5500;20;180;0.34;0.81
5500;20;200;0.24;0.80
5500;20;210;0.20;0.80
5500;20;220;0.13;0.61
